address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE,avg_distance_to_nearest_station,nearest_station_count,rent
2549,39,2.0,2.0,,0,0.2,3,4498
1547,129,2.0,2.0,,0,0.4,3,4000
2828,84,,1.0,,9,0.5,3,1396
879,149,2.0,1.0,,9,0.3,3,3298
2186,-1,1.0,1.0,,0,0.5,3,1700
227,-1,2.0,1.0,,0,0.5,3,1900
2599,-1,1.0,1.0,,9,0.5,3,1550
1735,176,,1.0,399.0,24,1.2,3,1195
2560,-1,,1.0,194.0,24,0.4,3,1875
2287,-1,2.0,2.0,894.0,0,0.2,3,3900
1852,-1,2.0,2.0,,0,0.1,3,2600
1083,-1,4.0,1.0,,25,1.5,3,1900
1746,136,4.0,2.0,,23,0.6,3,3650
1335,-1,2.0,,,9,1.5,3,1700
808,84,4.0,2.0,,9,0.7,3,4000
259,85,1.0,1.0,592.0,0,0.7,3,3432
1728,151,3.0,2.0,,9,0.4,3,8450
1766,-1,2.0,2.0,,9,0.2,3,4500
1093,81,,1.0,,24,0.3,3,5633
2550,-1,2.0,2.0,947.0,0,0.2,3,4500
2690,-1,1.0,1.0,,0,0.2,3,1842
1292,172,4.0,2.0,,23,1.8,3,1700
1932,-1,,1.0,450.0,24,0.5,3,1650
501,-1,,1.0,,24,0.3,3,1050
449,171,4.0,,,25,1.5,3,2700
2000,90,5.0,3.0,1959.0,9,0.5,3,7410
616,-1,3.0,1.0,,9,0.3,3,3467
541,-1,4.0,4.0,1679.0,9,0.5,3,8558
451,-1,3.0,2.0,,0,0.6,3,4700
1148,-1,1.0,1.0,,9,0.8,3,1450
2633,171,3.0,,,25,1.9,3,2000
1932,-1,,1.0,415.0,24,0.6,3,1625
463,-1,,1.0,,24,0.3,3,2470
1223,85,2.0,1.0,736.0,0,0.4,3,3000
2229,38,2.0,2.0,,9,0.2,3,3750
962,-1,1.0,1.0,,0,0.4,3,2000
2715,-1,1.0,1.0,,0,0.5,3,1750
1191,81,1.0,1.0,,5,0.4,3,2300
2103,-1,1.0,1.0,,0,0.2,3,2383
1285,169,2.0,,,0,1.4,3,1700
1284,176,2.0,,,18,1.5,3,1550
2000,90,4.0,3.0,2553.0,9,0.5,3,10010
1272,175,2.0,,,0,1.3,3,1600
658,94,2.0,2.0,807.0,0,0.3,3,3700
1971,-1,3.0,,,14,1.4,3,1950
712,-1,2.0,1.0,,0,0.3,3,2500
2694,-1,3.0,2.0,,9,0.3,3,3445
489,148,2.0,1.0,,18,0.7,3,1993
2715,-1,1.0,,,0,0.5,3,1750
124,208,6.0,6.0,,5,2.2,3,12500
985,208,1.0,1.0,,9,0.9,3,1175
2355,122,3.0,1.0,,25,1.4,3,1950
258,129,1.0,1.0,,0,0.7,3,2149
2056,155,2.0,1.0,,0,0.8,3,2650
2286,-1,1.0,1.0,,0,0.5,3,2297
218,171,1.0,,,12,1.6,3,1200
1635,-1,1.0,1.0,545.0,0,0.4,3,2578
508,37,2.0,2.0,,0,0.3,3,3500
112,176,1.0,,,0,1.8,3,1200
636,65,1.0,1.0,,0,0.9,3,1400
1651,200,1.0,1.0,751.0,0,0.2,3,2300
2852,171,1.0,,,0,1.9,3,1100
287,-1,1.0,1.0,,9,0.3,3,2058
1222,85,3.0,2.0,603.0,9,0.3,3,3792
1687,-1,3.0,1.0,,9,0.3,3,2700
2815,-1,2.0,1.0,,9,0.5,3,2300
2634,169,,,,12,0.8,3,850
2634,169,,,,24,0.8,3,1000
1481,150,2.0,2.0,,0,0.4,3,4200
2822,78,,,,0,0.4,3,1100
2475,204,1.0,1.0,,9,0.3,3,4767
1469,88,,,194.0,24,0.2,3,1300
299,40,2.0,1.0,,0,0.8,3,1600
1469,88,,,194.0,24,0.2,3,1400
156,-1,2.0,2.0,,0,0.3,3,7150
1469,88,,,205.0,24,0.2,3,1500
510,202,1.0,1.0,,0,0.1,3,2700
1530,129,2.0,2.0,,0,0.3,3,3250
2817,52,2.0,1.0,,9,0.6,3,1650
734,-1,1.0,1.0,,9,0.3,3,2817
1719,184,4.0,4.0,,23,0.2,3,9997
2562,-1,4.0,,,5,1.0,3,3000
2333,202,1.0,1.0,,0,0.2,3,3467
446,91,2.0,2.0,,9,0.7,3,2100
769,-1,,,,24,1.9,3,750
359,-1,4.0,2.0,,9,0.3,3,4498
2019,152,2.0,2.0,,0,0.2,3,4000
568,-1,1.0,1.0,,9,0.6,3,2375
118,-1,4.0,2.0,,9,0.3,3,4498
1813,129,3.0,1.0,,0,0.7,3,2750
1469,88,,,183.0,24,0.2,3,1200
258,129,1.0,1.0,,0,0.7,3,1895
47,-1,2.0,2.0,,9,0.5,3,4333
1995,-1,3.0,3.0,1038.0,0,0.2,3,3999
841,-1,4.0,2.0,,14,0.7,3,3195
884,-1,3.0,3.0,,9,0.9,3,3350
1688,-1,2.0,2.0,965.0,0,0.6,3,3501
2631,-1,2.0,2.0,,9,0.3,3,3298
1656,-1,1.0,1.0,,9,0.3,3,2817
1954,140,2.0,2.0,,0,0.4,3,2747
1277,121,4.0,2.0,,26,3.2,3,2700
2055,-1,1.0,1.0,,9,0.7,3,2496
2527,83,,1.0,,0,0.8,3,1350
2494,-1,1.0,1.0,,9,0.4,3,3467
915,-1,3.0,1.0,883.0,23,0.6,3,2200
968,85,1.0,1.0,553.0,1,0.3,3,2200
884,-1,2.0,2.0,,9,0.9,3,2750
2874,-1,3.0,3.0,1208.0,0,0.6,3,7615
1104,83,2.0,1.0,650.0,0,0.7,3,2350
1982,94,1.0,1.0,,0,0.6,3,2400
2406,-1,3.0,2.0,,23,1.1,3,1950
2196,150,2.0,2.0,,0,0.6,3,3077
2530,90,4.0,3.0,2229.0,0,0.5,3,14083
114,-1,1.0,,432.0,9,0.3,3,2492
2104,-1,,1.0,,0,0.3,3,1560
1794,-1,2.0,2.0,863.0,0,0.5,3,4199
910,181,,1.0,450.0,24,0.5,3,1196
1749,94,2.0,2.0,,0,0.1,3,2097
1268,69,2.0,1.0,,9,0.7,3,1950
1006,77,3.0,1.0,,23,0.9,3,2200
2671,-1,1.0,1.0,,0,1.3,3,1350
1647,174,3.0,2.0,941.0,0,0.6,3,2977
